Name,Macroarea,Family,Genus,WL,Index0,Index1,Index2,Index3,Index4,Index5,Index6,T,T_max,T_min,T_sd,T_diff,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,Index6_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Nanga,Africa,Dog,Dog.DOGON,3.6875,11.2354,40.2758,5.258,3.5671,1.8076,2.1308,5.308,28.8516,34.0477,23.3826,3.2738,10.6651,-0.3863,1.1530,0.2242,1.2204,1.2530,1.4806,1.1544,1.3619,1.7414,2.4384,0.5917,0.7487,0.8577
Nanga Dama,Africa,Dog,Dog.DOGON,3.7857,10.8738,36.2972,5.1509,3.4481,1.812,2.0535,5.1509,28.8516,34.0477,23.3826,3.2738,10.6651,-0.2406,0.6647,-0.6356,0.8318,0.6842,1.5609,0.4931,0.7913,1.7414,2.4384,0.5917,0.7487,0.8577
Nanggu,Pacific,An,An.OCEANIC,4.3333,10.5299,37.0063,5.0285,3.3986,1.8049,2.0017,5.0854,26.0761,26.4173,25.5543,0.5377,0.8630,0.5126,0.2143,-0.4801,0.3998,0.4522,1.4317,0.0495,0.5601,0.8116,0.1754,1.0756,-1.3414,-1.4539
Nanjiang,Eurasia,ST,ST.BURMESE-LOLO,3.1515,9.3366,35.6997,4.7682,3.1682,1.6273,1.9929,4.7682,14.4529,18.9831,7.7680,4.1681,11.2151,-1.2509,-1.2414,-0.7674,-0.4761,-0.5924,-1.3371,-0.0259,-0.5055,-1.3878,-1.3079,-1.4027,0.9775,0.9037
Nankina,Pacific,TNG,TNG.FINISTERRE,3.9219,9.3671,35.4079,4.3387,2.9913,1.6677,1.8631,4.3387,21.4855,21.6991,21.1855,0.4019,0.5135,-0.0443,-1.2062,-0.8320,-1.7959,-1.3545,-0.7814,-1.1388,-1.8071,-0.3388,-0.8433,0.1651,-1.7505,-1.9345
Nanti,SouthAmerica,Arw,Arw.PRE-ANDINE_ARAWAKAN,4.4762,9.465,34.8032,4.5235,3.0702,1.628,1.9312,4.5235,12.2093,12.8676,11.5109,0.6671,1.3567,0.6946,-1.0927,-0.9665,-1.2470,-1.0189,-1.3278,-0.5546,-1.2667,-1.5889,-2.0563,-1.1101,-1.0524,-1.0361
Nanticoke,NorthAmerica,Alg,Alg.ALGONQUIAN,6.3571,9.3983,32.2933,4.6192,3.0946,1.7,1.8994,4.6192,14.2498,25.9199,2.3463,8.4281,23.5735,2.6907,-1.1702,-1.5334,-0.9515,-0.9137,-0.3070,-0.8273,-0.9753,-1.4083,0.0548,-1.6900,1.5877,1.5816
Nanubae Imameri,Pacific,Ara,Ara.ARAFUNDI,5.375,9.1932,31.6233,4.4476,2.9497,1.7194,1.7872,4.5017,26.4957,26.7516,26.0697,0.5056,0.6819,1.7294,-1.4051,-1.6872,-1.4759,-1.5287,-0.0087,-1.7905,-1.3320,0.9398,0.2582,1.2003,-1.4260,-1.6719
Nanubai,Pacific,Ara,Ara.ARAFUNDI,5.3514,9.6828,34.4184,4.635,3.1045,1.7461,1.8684,4.635,26.4957,26.7516,26.0697,0.5056,0.6819,1.7043,-0.8362,-1.0525,-0.9020,-0.8709,0.4187,-1.0933,-0.9264,0.9398,0.2582,1.2003,-1.4260,-1.6719
Nanwang Puyuma,Pacific,An,An.PUYUMA,4.1875,10.4386,43.6133,4.9584,3.3689,1.7338,2.018,4.9584,21.1529,24.8778,16.2763,3.1298,8.6016,0.3211,0.0971,0.9236,0.1582,0.3143,0.2194,0.1891,0.1226,-0.4059,-0.1875,-0.5906,0.7049,0.6611
Nao,Africa,AA,AA.DIZOID,3.8974,10.2085,40.6922,4.9158,3.242,1.672,2.0228,4.9223,18.7015,21.1579,16.9320,1.4866,4.2258,-0.0791,-0.1941,0.3125,0.0135,-0.2642,-0.7198,0.2302,0.0009,-0.8420,-0.9428,-0.5038,-0.0772,0.0096
Nar Phu,Eurasia,ST,ST.BODIC,2.9286,9.8401,33.5913,4.846,3.1786,1.7821,1.8861,4.846,-2.4916,4.7500,-10.1571,5.3616,14.9071,-1.6513,-0.6475,-1.2385,-0.2204,-0.5465,1.0269,-0.9414,-0.2525,-2.0600,-2.5046,-1.9714,1.2052,1.1637
Nara,Africa,ESu,ESu.NARA,3.525,10.3395,39.3462,4.8217,3.3025,1.6725,2.0321,4.8454,25.5499,29.4284,22.4005,2.4083,7.0280,-0.6354,-0.0291,0.0260,-0.3008,0.0094,-0.7126,0.3099,-0.2545,0.6567,0.9742,0.3936,0.4421,0.4761
Narak,Pacific,TNG,TNG.CHIMBU-WAHGI,4.25,10.6161,41.3335,4.9483,3.3579,1.7676,2.0196,5.0282,21.2138,21.4706,20.8381,0.3976,0.6325,0.4039,0.3259,0.4479,0.1238,0.2634,0.7774,0.2028,0.3612,-0.3937,-0.8857,0.1030,-1.7661,-1.7415
Narango,Pacific,An,An.OCEANIC,4.0294,10.754,44.0303,5.1827,3.4076,1.7735,2.0257,5.2254,25.0903,26.4661,23.4196,1.2094,3.0465,0.1063,0.5062,1.0097,0.9462,0.4942,0.8782,0.2551,1.0591,0.5266,0.1874,0.5995,-0.3144,-0.2910
Narango Nambel,Pacific,An,An.OCEANIC,3.8649,10.5125,41.2883,5.0448,3.2791,1.7773,1.9279,5.1473,25.0903,26.4661,23.4196,1.2094,3.0465,-0.1257,0.1919,0.4384,0.4566,-0.0969,0.9436,-0.5829,0.7785,0.5266,0.1874,0.5995,-0.3144,-0.2910
Narim Larim,Africa,ESu,ESu.SOUTH_SURMIC,4.4,10.3445,37.7748,4.8324,3.2794,1.7055,1.9771,4.8324,23.8590,26.0563,21.8239,1.5253,4.2324,0.5983,-0.0228,-0.3128,-0.2655,-0.0955,-0.2234,-0.1612,-0.2971,0.2011,0.0876,0.2829,-0.0483,0.0111
Naro,Africa,KK,KK.KHOE-KWADI,3.1528,9.9291,42.9421,4.6361,3.2486,1.6465,2.0556,4.6361,22.0699,26.5770,14.7866,4.3384,11.7904,-1.2487,-0.5394,0.7845,-0.8986,-0.2345,-1.0781,0.5110,-0.9230,-0.2159,0.2148,-0.7731,1.0144,0.9494
Narom,Pacific,An,An.NORTH_BORNEO,4.5143,10.4717,43.0201,4.8761,3.3315,1.6929,2.0466,4.8761,26.5422,27.1945,25.6924,0.5791,1.5020,0.7423,0.1395,0.8007,-0.1201,0.1420,-0.4136,0.4340,-0.1531,0.9543,0.3701,1.1087,-1.2407,-0.9422
Naron,Africa,KK,KK.KHOE-KWADI,4.1667,9.0888,37.9723,4.3261,2.9578,1.5649,1.9106,4.3261,22.3143,26.7275,15.1039,4.2799,11.6236,0.2933,-1.5227,-0.2699,-1.8323,-1.4949,-2.1177,-0.7313,-1.8428,-0.1627,0.2522,-0.7359,1.0019,0.9364
Narungga,Australia,PN,PN.CENTRAL_PAMA-NYUNGAN,4.6905,10.9259,42.1351,5.0303,3.4185,1.8059,1.9786,5.0303,16.4543,21.0845,12.0068,3.3387,9.0777,0.9578,0.7341,0.6161,0.4061,0.5452,1.4498,-0.1484,0.3685,-1.1605,-0.9560,-1.0644,0.7677,0.7104
Nasal,Pacific,An,An.NASAL,4.7639,9.9298,37.9174,4.8113,3.202,1.7131,1.9269,4.8113,25.4372,26.0859,25.0723,0.5405,1.0136,1.0453,-0.5385,-0.2818,-0.3351,-0.4428,-0.1067,-0.5915,-0.3660,0.6244,0.0947,0.9626,-1.3341,-1.3053
Nashta,Eurasia,IE,IE.SLAVIC,3.6875,9.2268,33.2859,4.4568,2.9625,1.5849,1.8729,4.463,15.1250,26.2838,4.7628,7.8717,21.5210,-0.3863,-1.3669,-1.3075,-1.4484,-1.4753,-1.8774,-1.0547,-1.4469,-1.3169,0.1427,-1.5791,1.5320,1.4986
Nasioi,Pacific,SB,SB.SOUTH_BOUGAINVILLE,4.0139,9.4539,36.3919,4.3942,3.0144,1.6899,1.8829,4.3942,20.4254,20.8682,19.7873,0.5254,1.0809,0.0848,-1.1056,-0.6148,-1.6340,-1.2570,-0.4583,-0.9689,-1.6479,-0.5458,-0.9946,-0.0763,-1.3731,-1.2459
Naskapi,NorthAmerica,Alg,Alg.ALGONQUIAN,5.8333,9.47,31.5335,4.7536,3.2017,1.6827,1.9729,4.7792,-6.9145,10.6455,-26.3007,13.1605,36.9462,2.1966,-1.0869,-1.7079,-0.5235,-0.4442,-0.5645,-0.1972,-0.4701,-2.0724,-2.2351,-2.0244,1.9337,1.9905
Natanzi,Eurasia,IE,IE.IRANIAN,4.0,9.8126,35.9722,4.6168,2.9799,1.6246,1.87,4.6168,16.6721,28.2369,4.7299,8.5791,23.5070,0.0655,-0.6807,-0.7072,-0.9590,-1.4024,-1.3728,-1.0796,-0.9827,-1.1327,0.6438,-1.5808,1.6020,1.5790
Nataoran Amis,Pacific,An,An.EAST_FORMOSAN,5.2,9.5362,37.7304,4.6213,3.1026,1.6713,1.9042,4.6213,19.0807,23.8390,13.3024,3.8184,10.5366,1.5412,-1.0095,-0.3224,-0.9450,-0.8791,-0.7298,-0.7862,-0.9688,-0.7809,-0.4155,-0.9362,0.8957,0.8467
Natchez,NorthAmerica,Nat,Nat.NATCHEZ,4.859,9.8034,40.1735,4.7055,3.1968,1.6471,1.9868,4.7055,18.9898,28.1038,8.2893,7.2646,19.8145,1.1569,-0.6917,0.2025,-0.6785,-0.4659,-1.0699,-0.0781,-0.7056,-0.7958,0.6080,-1.3671,1.4657,1.4233
Nateni,Africa,NC,NC.OTI-VOLTA,4.0132,10.393,39.9283,4.8716,3.2857,1.731,2.003,4.8716,27.1932,30.2784,25.2089,1.8158,5.0696,0.0838,0.0389,0.1503,-0.1351,-0.0670,0.1746,0.0607,-0.1680,1.1624,1.2215,0.9943,0.1439,0.1767
Natioro,Africa,NC,NC.SAMU,3.8889,11.1698,44.6538,5.2264,3.5113,1.821,2.0711,5.2264,26.4474,29.4284,24.1095,1.9221,5.3189,-0.0913,1.0633,1.1380,1.1047,0.9844,1.7269,0.6437,1.0627,0.9249,0.9741,0.7465,0.2053,0.2207
Natioro 2,Africa,NC,NC.SAMU,4.5577,11.3076,45.1456,5.2734,3.5361,1.8262,2.0705,5.2734,26.0888,29.0931,23.7369,1.9340,5.3562,0.7960,1.2524,1.2387,1.2771,1.1033,1.8239,0.6386,1.2343,0.8154,0.8793,0.6663,0.2119,0.2271
Natioro 3,Africa,NC,NC.SAMU,4.2222,11.0323,43.657,5.1405,3.4461,1.8034,2.0352,5.1405,26.0888,29.0931,23.7369,1.9340,5.3562,0.3672,0.8769,0.9327,0.7946,0.6748,1.4045,0.3364,0.7543,0.8154,0.8793,0.6663,0.2119,0.2271
Natioro 4,Africa,NC,NC.SAMU,4.4444,11.1471,44.6439,5.1929,3.4773,1.8175,2.0432,5.1929,26.0888,29.0931,23.7369,1.9340,5.3562,0.6546,1.0324,1.1359,0.9830,0.8224,1.6620,0.4049,0.9417,0.8154,0.8793,0.6663,0.2119,0.2271
Navaho,NorthAmerica,NDe,NDe.ATHAPASKAN,3.2857,8.819,30.546,4.2929,2.9048,1.5738,1.8413,4.2929,11.6805,23.7349,0.3850,8.4814,23.3499,-1.0224,-1.8209,-1.9368,-1.9275,-1.7144,-2.0119,-1.3259,-1.9364,-1.6289,-0.4376,-1.7628,1.5928,1.5729
Navajo,NorthAmerica,NDe,NDe.ATHAPASKAN,3.7,9.6279,36.8956,4.5031,3.0752,1.5979,1.9429,4.5031,11.6805,23.7349,0.3850,8.4814,23.3499,-0.3675,-0.9014,-0.5043,-1.3090,-0.9974,-1.7163,-0.4543,-1.3278,-1.6289,-0.4376,-1.7628,1.5928,1.5729
Navakat,Eurasia,ST,ST.BODIC,3.2179,9.6269,36.3782,4.6603,3.0915,1.7064,1.8816,4.6603,0.7323,10.8993,-9.3957,7.1004,20.2950,-1.1367,-0.9026,-0.6178,-0.8223,-0.9271,-0.2097,-0.9800,-0.8477,-2.0328,-2.2170,-1.9637,1.4466,1.4451
Navut,Pacific,An,An.OCEANIC,4.1143,11.459,45.4442,5.3806,3.6232,1.8104,2.159,5.536,25.0573,26.3177,23.4608,1.1499,2.8569,0.2226,1.4626,1.2997,1.6776,1.5264,1.5316,1.3955,2.2301,0.5175,0.1510,0.6081,-0.3738,-0.3501
Navut Matae,Pacific,An,An.OCEANIC,4.1944,11.0667,45.025,5.177,3.5404,1.7569,2.147,5.177,24.9489,26.2977,23.2736,1.2090,3.0241,0.3303,0.9233,1.2140,0.9256,1.1240,0.5972,1.2930,0.8846,0.4875,0.1461,0.5691,-0.3147,-0.2978
Nawar Zutt,Eurasia,IE,IE.INDIC,3.9132,10.1338,41.1466,4.7274,3.1618,1.6956,1.902,4.7274,19.1747,25.6962,11.8453,5.1053,13.8509,-0.0566,-0.2873,0.4085,-0.6082,-0.6206,-0.3732,-0.8050,-0.6361,-0.7654,0.0016,-1.0795,1.1617,1.0966
Nawdm,Africa,NC,NC.OTI-VOLTA,4.2241,9.9386,36.1203,4.6035,3.0767,1.71,1.8439,4.6035,25.5929,27.6571,23.7227,1.3962,3.9344,0.3697,-0.5278,-0.6745,-1.0005,-0.9910,-0.1545,-1.3036,-1.0236,0.6691,0.4898,0.6633,-0.1483,-0.0560
Nawuri,Africa,NC,NC.TANO,4.5,10.5382,40.7224,4.9394,3.3701,1.7344,2.0448,4.9689,27.1764,28.8250,25.3586,1.2709,3.4664,0.7244,0.2250,0.3189,0.0935,0.3198,0.2290,0.4186,0.1582,1.1569,0.8044,1.0293,-0.2565,-0.1723
Naxi,Eurasia,ST,ST.NA-QIANGIC,2.7105,9.1215,28.9989,4.7849,3.0607,1.666,1.868,4.8035,8.8717,15.3189,1.4399,5.0816,13.8790,-2.0714,-1.4860,-2.3006,-0.4216,-1.0597,-0.8056,-1.0967,-0.3914,-1.8016,-1.8035,-1.7254,1.1576,1.0984
Naxi 2,Eurasia,ST,ST.NA-QIANGIC,2.525,9.5936,29.8294,4.8443,3.1347,1.6597,1.9404,4.9121,8.8717,15.3189,1.4399,5.0816,13.8790,-2.4541,-0.9419,-2.1045,-0.2260,-0.7394,-0.8947,-0.4758,-0.0333,-1.8016,-1.8035,-1.7254,1.1576,1.0984
Nayi 2,Africa,AA,AA.DIZOID,3.6491,9.3243,35.7851,4.5785,3.0145,1.6311,1.8728,4.5785,22.9817,25.4998,21.1746,1.5386,4.3252,-0.4442,-1.2555,-0.7485,-1.0781,-1.2566,-1.2866,-1.0556,-1.1002,-0.0114,-0.0446,0.1631,-0.0386,0.0310
Naykhin Nanai,Eurasia,Alt,Alt.TUNGUSIC,4.4375,9.8735,37.3908,4.848,3.2343,1.6774,1.9758,4.8652,1.7935,21.8185,-21.1975,15.2282,43.0160,0.6459,-0.6070,-0.3962,-0.2137,-0.2987,-0.6418,-0.1724,-0.1892,-2.0183,-0.8209,-2.0208,2.0408,2.1287
Nazimabad Hunza Burushaski,Eurasia,Brs,Brs.BURUSHASKI,3.7778,8.85,29.2743,4.3767,2.929,1.6265,1.8264,4.3767,-9.7560,1.9006,-21.4897,8.1334,23.3903,-0.2522,-1.7871,-2.2353,-1.6854,-1.6146,-1.3477,-1.4538,-1.6984,-2.0738,-2.5473,-2.0211,1.5588,1.5744
Ncane,Africa,NC,NC.BEBOID,2.7333,10.8375,42.05,5.0944,3.4889,1.7444,2.1389,5.0972,21.8776,23.5035,20.2071,1.2224,3.2963,-2.0261,0.6165,0.5983,0.6308,0.8775,0.3909,1.2237,0.6014,-0.2571,-0.4863,-0.0061,-0.3018,-0.2185
Ncekpe,Africa,NC,NC.BENUE-CONGO_PLATEAU,3.875,9.7283,34.3335,4.8027,3.1118,1.7098,1.8771,4.8688,26.5807,29.0991,24.6061,1.6630,4.4930,-0.1112,-0.7819,-1.0715,-0.3633,-0.8392,-0.1576,-1.0187,-0.1773,0.9663,0.8810,0.8564,0.0478,0.0659
Nchumuru,Africa,NC,NC.TANO,4.1833,10.4466,40.2805,4.9645,3.4148,1.7471,2.0667,4.9853,27.1305,28.6947,25.3273,1.2375,3.3674,0.3155,0.1073,0.2252,0.1791,0.5278,0.4351,0.6061,0.2141,1.1419,0.7685,1.0220,-0.2874,-0.1989
Nco,Africa,NC,NC.BENUE-CONGO_PLATEAU,3.7297,9.6613,33.9465,4.7974,3.1582,1.732,1.8803,4.8789,26.5807,29.0991,24.6061,1.6630,4.4930,-0.3232,-0.8618,-1.1584,-0.3807,-0.6364,0.1905,-0.9912,-0.1438,0.9663,0.8810,0.8564,0.0478,0.0659
Ndali,Africa,NC,NC.BANTU,3.9167,10.2698,39.0386,4.8232,3.2196,1.6827,1.9921,4.8232,16.4144,19.7098,12.4275,2.3710,7.2823,-0.0516,-0.1172,-0.0400,-0.2959,-0.3644,-0.5645,-0.0327,-0.3272,-1.1655,-1.1920,-1.0241,0.4260,0.5087
Ndali 2,Africa,NC,NC.BANTU,4.0417,10.4275,39.2248,4.8887,3.2771,1.687,2.025,4.8887,16.4144,19.7098,12.4275,2.3710,7.2823,0.1233,0.0829,-0.0000,-0.0778,-0.1060,-0.5012,0.2491,-0.1113,-1.1655,-1.1920,-1.0241,0.4260,0.5087
Ndam,Africa,AA,AA.EAST_CHADIC,3.55,10.2721,41.0538,4.7554,3.1904,1.6942,1.935,4.7629,28.4435,32.9805,25.3485,2.6235,7.6320,-0.5964,-0.1143,0.3889,-0.5177,-0.4943,-0.3942,-0.5221,-0.5226,1.5922,2.0737,1.0270,0.5294,0.5516
Ndamba,Africa,NC,NC.BANTU,4.1296,10.847,40.5369,5.0836,3.3581,1.7389,2.0181,5.0836,18.6586,20.6151,15.6701,1.7740,4.9450,0.2433,0.6291,0.2796,0.5927,0.2644,0.3015,0.1900,0.5537,-0.8488,-1.0390,-0.6672,0.1186,0.1539
Ndamba 2,Africa,NC,NC.BANTU,4.6111,10.3086,37.0401,4.8817,3.238,1.7065,1.9656,4.8817,18.6586,20.6151,15.6701,1.7740,4.9450,0.8616,-0.0682,-0.4727,-0.1013,-0.2821,-0.2082,-0.2598,-0.1346,-0.8488,-1.0390,-0.6672,0.1186,0.1539
Ndanda Sud,Africa,NC,NC.WIDE_GRASSFIELDS,2.9429,8.8101,32.7763,4.4158,2.9289,1.5708,1.8895,4.4976,17.6778,18.9191,16.2133,1.0164,2.7058,-1.6248,-1.8306,-1.4232,-1.5704,-1.6150,-2.0478,-0.9123,-1.3442,-0.9960,-1.3178,-0.5987,-0.5215,-0.4001
Ndasa 1,Africa,NC,NC.BANTU,3.7222,10.6968,39.2431,5.087,3.425,1.7338,2.0657,5.087,23.7138,24.3749,22.3547,0.8311,2.0202,-0.3344,0.4312,0.0039,0.6047,0.5756,0.2194,0.5975,0.5657,0.1648,-0.2996,0.3847,-0.7700,-0.6690
Ndasa 2,Africa,NC,NC.BANTU,3.5417,10.8468,40.0086,5.1204,3.4315,1.7421,2.0569,5.1204,23.7138,24.3749,22.3547,0.8311,2.0202,-0.6093,0.6288,0.1674,0.7229,0.6061,0.3534,0.5222,0.6832,0.1648,-0.2996,0.3847,-0.7700,-0.6690
Nde,Africa,NC,NC.EKOID-MBE,2.973,10.023,36.5068,4.5928,3.0991,1.7243,1.8775,4.5995,25.7249,27.0010,24.6218,1.0056,2.3792,-1.5694,-0.4244,-0.5895,-1.0338,-0.8943,0.0683,-1.0152,-1.0359,0.7075,0.3209,0.8599,-0.5344,-0.5184
Nde 2,Africa,NC,NC.EKOID-MBE,4.1481,10.4986,40.5387,4.8283,3.2608,1.7623,1.9074,4.8283,25.6042,26.8780,24.4774,1.0026,2.4006,0.2683,0.1740,0.2800,-0.2790,-0.1796,0.6878,-0.7587,-0.3105,0.6724,0.2899,0.8276,-0.5381,-0.5102
Nde 3,Africa,NC,NC.EKOID-MBE,3.8571,10.6545,40.8821,4.9637,3.3179,1.7827,1.9583,4.9637,25.6042,26.8780,24.4774,1.0026,2.4006,-0.1369,0.3759,0.3527,0.1763,0.0797,1.0373,-0.3223,0.1406,0.6724,0.2899,0.8276,-0.5381,-0.5102
Nde 4,Africa,NC,NC.EKOID-MBE,2.9655,10.071,35.4684,4.5839,3.092,1.7374,1.8609,4.5839,25.6042,26.8780,24.4774,1.0026,2.4006,-1.5831,-0.3652,-0.8186,-1.0614,-0.9250,0.2773,-1.1577,-1.0837,0.6724,0.2899,0.8276,-0.5381,-0.5102
Nde 5,Africa,NC,NC.EKOID-MBE,4.0,10.1205,37.1529,4.653,3.1003,1.7433,1.8736,4.653,25.6042,26.8780,24.4774,1.0026,2.4006,0.0655,-0.3039,-0.4481,-0.8453,-0.8891,0.3729,-1.0487,-0.8704,0.6724,0.2899,0.8276,-0.5381,-0.5102
Nde 6,Africa,NC,NC.EKOID-MBE,3.5926,9.7704,33.5996,4.6612,3.1288,1.7206,1.9,4.6612,25.6042,26.8780,24.4774,1.0026,2.4006,-0.5305,-0.7314,-1.2366,-0.8194,-0.7652,0.0101,-0.8222,-0.8448,0.6724,0.2899,0.8276,-0.5381,-0.5102
Nde Bukwok,Africa,NC,NC.WIDE_GRASSFIELDS,2.7568,9.0101,32.9257,4.4527,2.9842,1.6396,1.8649,4.4932,21.2030,23.2168,19.4255,1.3830,3.7913,-1.9797,-1.6106,-1.3892,-1.4607,-1.3844,-1.1722,-1.1233,-1.3573,-0.3959,-0.5457,-0.1352,-0.1592,-0.0900
Nde Yulana,Africa,NC,NC.WIDE_GRASSFIELDS,2.7838,9.5872,33.3896,4.6225,3.077,1.6689,1.8766,4.6545,21.2030,23.2168,19.4255,1.3830,3.7913,-1.9269,-0.9495,-1.2841,-0.9412,-0.9897,-0.7642,-1.0229,-0.8658,-0.3959,-0.5457,-0.1352,-0.1592,-0.0900
Ndebele,Africa,NC,NC.BANTU,4.1724,10.3494,38.5474,4.8225,3.2307,1.7053,1.9382,4.8225,18.9934,22.5333,13.2472,3.4397,9.2862,0.3009,-0.0166,-0.1456,-0.2982,-0.3148,-0.2265,-0.4946,-0.3295,-0.7952,-0.6831,-0.9419,0.7964,0.7311
Ndemli,Africa,NC,NC.WIDE_GRASSFIELDS,3.0,10.3025,36.2079,4.8567,3.2931,1.6831,2.0394,4.8967,25.3008,26.3670,23.9028,0.9586,2.4642,-1.5201,-0.0759,-0.6552,-0.1848,-0.0334,-0.5586,0.3724,-0.0847,0.5856,0.1630,0.7018,-0.5928,-0.4861
Ndendeule,Africa,NC,NC.BANTU,3.4118,10.8523,42.6265,5.0498,3.3811,1.7387,2.049,5.1828,16.4144,19.7098,12.4275,2.3710,7.2823,-0.8153,0.6361,0.7188,0.4741,0.3708,0.2983,0.4546,0.9054,-1.1655,-1.1920,-1.0241,0.4260,0.5087
Ndengeleko,Africa,NC,NC.BANTU,3.6714,11.2493,42.5548,5.1795,3.5638,1.7807,2.1176,5.1795,25.2062,26.5149,23.3512,1.2738,3.1637,-0.4105,1.1721,0.7038,0.9346,1.2370,1.0025,1.0415,0.8935,0.5590,0.1994,0.5852,-0.2539,-0.2563
Ndengereko,Africa,NC,NC.BANTU,3.6944,10.9545,41.0721,5.0325,3.4085,1.7842,2.0301,5.0325,25.2062,26.5149,23.3512,1.2738,3.1637,-0.3759,0.7723,0.3928,0.4137,0.4984,1.0635,0.2927,0.3761,0.5590,0.1994,0.5852,-0.2539,-0.2563
Ndeywan,Africa,NC,NC.BENUE-CONGO_PLATEAU,3.5758,9.7902,34.4614,4.7972,3.1336,1.726,1.8687,4.8571,26.5807,29.0991,24.6061,1.6630,4.4930,-0.5564,-0.7076,-1.0429,-0.3814,-0.7442,0.0951,-1.0907,-0.2159,0.9663,0.8810,0.8564,0.0478,0.0659
Ndi Ghari,Pacific,An,An.OCEANIC,4.0323,10.8094,42.8304,5.118,3.4637,1.7379,2.0925,5.1301,23.9540,24.3441,23.3329,0.5466,1.0112,0.1103,0.5793,0.7612,0.7144,0.7579,0.2853,0.8268,0.7175,0.2250,-0.3064,0.5814,-1.3190,-1.3075
Nding,Africa,Krd,Krd.TALODI,4.175,9.8721,40.2422,4.5542,3.2182,1.668,2.002,4.6054,28.1913,32.5220,25.3762,2.4484,7.1458,0.3044,-0.6087,0.2171,-1.1531,-0.3707,-0.7771,0.0521,-1.0178,1.5022,1.9219,1.0335,0.4591,0.4913
Ndjabi,Africa,NC,NC.BANTU,3.7714,10.6395,40.0485,4.9757,3.3667,1.7295,2.0448,5.0843,23.7271,24.2818,23.1558,0.6998,1.1259,-0.2616,0.3563,0.1759,0.2174,0.3041,0.1507,0.4186,0.5562,0.1681,-0.3200,0.5449,-0.9899,-1.2082
Ndo 2,Africa,CSu,CSu.MANGBUTU-EFE,3.9167,10.7198,36.8053,5.0316,3.4726,1.6989,2.1384,5.0316,21.6963,23.8322,20.4666,1.4189,3.3656,-0.0516,0.4613,-0.5241,0.4106,0.8001,-0.3236,1.2194,0.3730,-0.2952,-0.4170,0.0382,-0.1300,-0.1994
Ndogo,Africa,NC,NC.UBANGI,2.5172,10.1638,32.9767,4.7121,3.2333,1.6764,1.9874,4.7741,26.9815,30.5465,24.5394,2.1479,6.0071,-2.4708,-0.2500,-1.3776,-0.6573,-0.3032,-0.6563,-0.0730,-0.4865,1.0936,1.3015,0.8414,0.3232,0.3323
Ndok Mbali,Africa,NC,NC.MBUMIC,3.0312,10.1956,37.6247,4.8591,3.2232,1.6909,1.9766,4.975,25.9692,29.5323,23.2275,2.2290,6.3048,-1.4637,-0.2103,-0.3453,-0.1768,-0.3484,-0.4434,-0.1655,0.1790,0.7796,1.0039,0.5596,0.3620,0.3766
Ndoka,Africa,CSu,CSu.BONGO-BAGIRMI,3.4286,10.6347,41.9911,4.8586,3.2366,1.6711,2.003,4.9658,27.1402,30.8639,24.4637,2.3227,6.4001,-0.7883,0.3501,0.5860,-0.1785,-0.2884,-0.7327,0.0607,0.1477,1.1451,1.3976,0.8245,0.4048,0.3904
Ndolo,Africa,NC,NC.BANTU,4.0526,10.9212,41.2775,5.0627,3.3935,1.7419,2.0456,5.0627,25.4474,26.9588,24.5322,1.4374,2.4266,0.1383,0.7278,0.4361,0.5192,0.4285,0.3502,0.4254,0.4808,0.6273,0.3102,0.8398,-0.1152,-0.5003
Ndom 2,Pacific,Kol,Kol.KOLOPOM,3.5,10.0231,36.0242,4.9114,3.1644,1.7621,1.853,4.9114,26.1135,27.4338,24.4085,1.1535,3.0253,-0.6747,-0.4242,-0.6957,-0.0014,-0.6091,0.6844,-1.2255,-0.0356,0.8229,0.4317,0.8122,-0.3700,-0.2974
Ndom 3,Pacific,Kol,Kol.KOLOPOM,3.7586,10.0402,36.1448,4.9241,3.1586,1.7431,1.8644,4.9241,26.1135,27.4338,24.4085,1.1535,3.0253,-0.2805,-0.4032,-0.6691,0.0415,-0.6347,0.3697,-1.1276,0.0070,0.8229,0.4317,0.8122,-0.3700,-0.2974
Ndonga,Africa,NC,NC.BANTU,3.2727,10.9293,42.0953,5.154,3.4078,1.726,2.0657,5.2146,23.9888,27.7034,18.4746,3.2266,9.2289,-1.0441,0.7386,0.6078,0.8429,0.4951,0.0951,0.5975,1.0200,0.2338,0.5019,-0.2833,0.7346,0.7255
Ndonga 2,Africa,NC,NC.BANTU,3.4722,10.8986,41.8352,5.1252,3.4174,1.7396,2.0583,5.144,23.9888,27.7034,18.4746,3.2266,9.2289,-0.7186,0.6977,0.5533,0.7400,0.5400,0.3128,0.5342,0.7668,0.2338,0.5019,-0.2833,0.7346,0.7255
Ndouba,Africa,NC,NC.BANTU,3.1944,11.3426,45.4032,5.2449,3.5931,1.7606,2.1444,5.2588,24.6344,25.1864,24.0445,0.7976,1.1419,-1.1769,1.3007,1.2913,1.1724,1.3793,0.6592,1.2707,1.1808,0.4022,-0.1172,0.7324,-0.8220,-1.1952
