Name,Macroarea,Family,Genus,WL,Index0,Index1,Index2,Index3,Index4,Index5,Index6,T,T_max,T_min,T_sd,T_diff,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,Index6_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Adi Galo,Eurasia,ST,ST.TANI,2.55,10.6729,38.9854,5.1979,3.5146,1.7896,2.075,5.1979,15.6734,21.4092,8.6055,4.5820,12.8037,-2.4011,0.3999,-0.0514,1.0011,1.0002,1.1583,0.6771,0.9597,-1.2550,-0.8970,-1.3448,1.0644,1.0248
Adilabad Gondi,Eurasia,Dra,Dra.DRAVIDIAN,4.0147,9.7733,37.4953,4.6922,3.1132,1.7328,1.8191,4.6922,26.2751,32.7794,21.2029,3.6234,11.5765,0.0859,-0.7280,-0.3735,-0.7210,-0.8331,0.2033,-1.5165,-0.7476,0.8719,2.0068,0.1683,0.8461,0.9327
Adioukrou,Africa,NC,NC.AGNEBY,3.3214,10.3371,32.7143,4.9305,3.2176,1.8338,1.7981,4.9424,25.6481,26.9609,23.6852,1.1978,3.2757,-0.9630,-0.0321,-1.4373,0.0632,-0.3734,1.9673,-1.6969,0.0685,0.6851,0.3108,0.6553,-0.3257,-0.2243
Adioukrou 2,Africa,NC,NC.AGNEBY,3.7059,10.4029,34.1463,4.9621,3.2452,1.8273,1.8043,4.9621,25.6031,26.8355,23.6316,1.1815,3.2039,-0.3587,0.0515,-1.1135,0.1709,-0.2498,1.8446,-1.6436,0.1352,0.6721,0.2792,0.6440,-0.3417,-0.2447
Adnyamathanha,Australia,PN,PN.CENTRAL_PAMA-NYUNGAN,4.58,11.2191,44.475,5.3095,3.5943,1.8536,2.067,5.3095,20.6246,29.0997,12.0711,6.0932,17.0286,0.8235,1.1307,1.1013,1.4109,1.3851,2.3492,0.6086,1.3674,-0.5084,0.8811,-1.0583,1.3167,1.2851
Adora,Pacific,TKw,TKw.KWERBA,5.4211,10.357,41.3993,4.9276,3.3378,1.7346,2.0241,4.9276,26.3389,26.6149,26.0420,0.3744,0.5729,1.7780,-0.0069,0.4617,0.0534,0.1709,0.2322,0.2414,0.0187,0.8914,0.2241,1.1935,-1.8537,-1.8332
Adumanis Ulu Komering,Pacific,An,An.LAMPUNGIC,4.3125,9.935,34.6208,4.8016,3.2173,1.6916,1.9823,4.8016,26.2004,26.8133,25.6800,0.5970,1.1333,0.4857,-0.5322,-1.0072,-0.3670,-0.3747,-0.4330,-0.1167,-0.3976,0.8492,0.2736,1.1057,-1.1998,-1.2022
Adyghe,Eurasia,NWC,NWC.NORTHWEST_CAUCASIAN,3.6974,8.3825,29.8132,4.6585,3.032,1.5843,1.9293,4.6585,11.7158,24.3996,-0.0736,9.1504,24.4732,-0.3714,-2.2852,-2.1083,-0.8280,-1.1823,-1.8848,-0.5709,-0.8533,-1.6263,-0.2942,-1.7779,1.6538,1.6157
Adyghe 2,Eurasia,NWC,NWC.NORTHWEST_CAUCASIAN,3.6125,8.917,38.4946,4.4443,2.8693,1.5405,1.8485,4.4443,11.8079,24.5337,0.1357,9.1142,24.3980,-0.5000,-1.7136,-0.1570,-1.4857,-1.8597,-2.3985,-1.2641,-1.5019,-1.6195,-0.2646,-1.7711,1.6506,1.6129
Adzera,Pacific,An,An.OCEANIC,4.4872,10.3818,40.596,4.8943,3.2552,1.72,1.9747,4.9418,24.8198,25.4525,23.8250,0.7135,1.6275,0.7084,0.0246,0.2921,-0.0590,-0.2048,0.0007,-0.1818,0.0665,0.4523,-0.0556,0.6851,-0.9648,-0.8682
