Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Ban,4.1467,11.3125,41.4457,5.2893,3.4926,1.7918,2.0707,28.6413,34.1182,22.6540,3.5082,11.4642,median,-0.3659,1.4571,0.3990,1.6176,0.9748,1.1772,0.6322,1.4681,2.6561,0.3732,0.8403,0.9677
Bar,4.2189,9.5027,36.9102,4.6893,3.1441,1.6605,1.9502,22.7261,23.1639,22.2053,0.7037,0.9586,mean,-0.2631,-1.1072,-0.7037,-0.8050,-0.8465,-0.7940,-0.5117,-0.1113,-0.6216,0.2911,-0.8851,-1.2215
Bar,4.1625,9.7145,37.2246,4.7323,3.1825,1.6621,1.9627,24.8876,25.2618,24.1344,0.6615,0.7939,median,-0.3432,-0.8437,-0.6277,-0.6510,-0.6608,-0.7710,-0.3917,0.3907,-0.1637,0.6591,-0.9612,-1.3892
Bas,4.4688,10.1093,36.8624,4.7459,3.1825,1.6540,1.9331,12.5498,19.2398,6.5872,4.6851,12.6526,mean,0.0811,-0.3272,-0.7152,-0.6015,-0.6605,-0.8856,-0.6759,-1.5680,-1.2949,-1.5091,1.1044,1.0541
Bas,4.4688,10.1093,36.8624,4.7459,3.1825,1.6540,1.9331,12.5498,19.2398,6.5872,4.6851,12.6526,median,0.0811,-0.3272,-0.7152,-0.6015,-0.6605,-0.8856,-0.6759,-1.5680,-1.2949,-1.5091,1.1044,1.0541
Beo,6.1500,10.4258,40.8309,4.8618,3.2429,1.6925,1.9998,2.7748,15.0342,-8.6635,8.3644,23.6978,mean,2.0304,0.1110,0.2488,-0.1691,-0.3610,-0.3354,-0.0387,-2.0406,-1.7848,-2.0372,1.5963,1.6020
Beo,6.1500,10.4258,40.8309,4.8618,3.2429,1.6925,1.9998,2.7748,15.0342,-8.6635,8.3644,23.6978,median,2.0304,0.1110,0.2488,-0.1691,-0.3610,-0.3354,-0.0387,-2.0406,-1.7848,-2.0372,1.5963,1.6020
Ber,4.5793,10.8006,42.7394,5.1124,3.3933,1.7329,2.0381,23.6794,27.5382,20.6669,2.4203,6.8714,mean,0.2280,0.6584,0.7159,0.8409,0.4245,0.2626,0.3249,0.1002,0.4182,0.0252,0.4820,0.5189
Ber,4.5793,10.8006,42.7394,5.1124,3.3933,1.7329,2.0381,23.6794,27.5382,20.6669,2.4203,6.8714,median,0.2280,0.6584,0.7159,0.8409,0.4245,0.2626,0.3249,0.1002,0.4182,0.0252,0.4820,0.5189
Bet,5.1750,11.4378,46.0860,5.3708,3.6738,1.7498,2.2436,26.4740,28.7679,25.0859,1.5981,3.6819,mean,0.9685,1.6617,1.5398,1.9940,2.0440,0.5205,2.2439,0.8124,0.7716,0.8557,0.0540,-0.0301
