Genus,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Alg.WIYOT,Alg,9.1281,33.9179,2.9419,1.5762,1.8233,13.5527,17.9987,10.3533,3.1277,7.6454,mean,-1.5123,-1.3336,-1.6863,-1.9653,-1.5761,-1.4851,-1.4510,-1.2697,0.7578,0.6205
Alg.WIYOT,Alg,9.1281,33.9179,2.9419,1.5762,1.8233,13.5527,17.9987,10.3533,3.1277,7.6454,median,-1.5123,-1.3336,-1.6863,-1.9653,-1.5761,-1.4851,-1.4510,-1.2697,0.7578,0.6205
Alg.YUROK,Alg,8.7773,30.4653,2.8674,1.6480,1.6967,13.3522,18.9047,9.4352,3.7888,9.4695,mean,-1.9137,-2.1683,-2.0106,-1.0191,-2.6955,-1.5027,-1.3274,-1.3414,0.9412,0.8158
Alg.YUROK,Alg,8.7773,30.4653,2.8674,1.6480,1.6967,13.3522,18.9047,9.4352,3.7888,9.4695,median,-1.9137,-2.1683,-2.0106,-1.0191,-2.6955,-1.5027,-1.3274,-1.3414,0.9412,0.8158
Alt.MONGOLIC,Alt,9.9376,36.5774,3.1665,1.6900,1.9032,4.0058,18.8683,-11.8070,10.8208,30.6754,mean,-0.5254,-0.7027,-0.6609,-0.4171,-0.8652,-1.9631,-1.3326,-2.0106,1.8512,1.9039
Alt.MONGOLIC,Alt,9.9150,37.5188,3.1917,1.6994,1.9073,2.5729,18.8663,-15.5997,11.3603,31.2215,median,-0.5541,-0.4817,-0.5417,-0.2775,-0.8283,-1.9896,-1.3329,-2.0283,1.8898,1.9204
Alt.TUNGUSIC,Alt,10.1056,36.2292,3.2552,1.7014,1.9881,0.0753,19.7665,-21.0834,14.5526,40.8499,mean,-0.3099,-0.7848,-0.2366,-0.2481,-0.1051,-2.0198,-1.1995,-2.0384,2.0817,2.1731
Alt.TUNGUSIC,Alt,10.1137,36.5964,3.2540,1.6991,1.9941,0.7847,21.2730,-22.0429,15.0885,42.5393,median,-0.2995,-0.6983,-0.2425,-0.2820,-0.0515,-2.0130,-0.9506,-2.0391,2.1091,2.2113
Alt.TURKIC,Alt,9.3103,31.8174,3.0002,1.6130,1.8437,8.6331,22.4652,-5.1595,10.0495,27.6246,mean,-1.2975,-1.8392,-1.4272,-1.4931,-1.3950,-1.8111,-0.7297,-1.9378,1.7919,1.8059
Alt.TURKIC,Alt,9.3908,31.4964,2.9938,1.6115,1.8406,11.3420,23.2760,-1.0384,8.8612,24.6881,median,-1.2013,-1.9170,-1.4557,-1.5128,-1.4224,-1.6575,-0.5669,-1.8482,1.6895,1.7009
An.ATAYALIC,An,9.3843,34.9404,3.0316,1.6446,1.8666,12.5325,17.8292,6.1132,4.2198,11.7159,mean,-1.2091,-1.0899,-1.2855,-1.0662,-1.1914,-1.5705,-1.4729,-1.5584,1.0418,1.0109
An.ATAYALIC,An,9.4593,35.3769,3.0454,1.6437,1.8771,12.5325,17.8292,6.1132,4.2198,11.7159,median,-1.1187,-0.9863,-1.2227,-1.0793,-1.0972,-1.5705,-1.4729,-1.5584,1.0418,1.0109
An.BARITO,An,11.1383,45.7009,3.4761,1.7532,2.0797,23.3284,25.1870,20.9122,1.6452,4.2749,mean,1.0944,1.3944,0.8683,0.5587,0.7187,0.0231,-0.1408,0.0460,0.1009,0.0942
An.BARITO,An,11.4872,46.7818,3.5383,1.7662,2.0998,23.8121,26.1166,21.0706,1.9321,5.0903,median,1.6001,1.6368,1.1920,0.7716,0.8995,0.1389,0.0887,0.0742,0.2716,0.2516
An.BATANIC,An,10.3962,43.3755,3.2563,1.7247,1.9665,25.0273,27.6943,21.5240,2.3428,6.1703,mean,0.0713,0.8689,-0.2312,0.1077,-0.2989,0.4512,0.5134,0.1566,0.4707,0.4257
An.BATANIC,An,10.8291,45.5317,3.3255,1.7377,1.9966,25.2574,27.8200,21.8440,2.2843,5.9759,median,0.6595,1.3564,0.1078,0.3116,-0.0286,0.5139,0.5492,0.2162,0.4449,0.3967
An.BILIC,An,9.4377,34.3704,3.0951,1.6608,1.8820,24.7984,25.4868,24.3578,0.5350,1.1290,mean,-1.1449,-1.2256,-0.9947,-0.8390,-1.0543,0.3900,-0.0684,0.7298,-1.2227,-1.0875
An.BILIC,An,9.5664,35.8444,3.1708,1.6769,1.9162,24.9647,25.6955,24.5862,0.5576,1.1395,median,-0.9884,-0.8757,-0.6408,-0.6089,-0.7488,0.4343,-0.0171,0.7807,-1.1696,-1.0794
An.BUNUN,An,9.1273,38.0076,2.9303,1.6081,1.8622,8.8748,13.1651,3.2729,3.5676,9.8922,mean,-1.5133,-0.3674,-1.7374,-1.5575,-1.2305,-1.7996,-1.9400,-1.6985,0.8843,0.8557
An.BUNUN,An,9.0986,38.2505,2.9371,1.6112,1.8609,8.8748,13.1651,3.2729,3.5676,9.8922,median,-1.5467,-0.3107,-1.7074,-1.5174,-1.2414,-1.7996,-1.9400,-1.6985,0.8843,0.8557
An.CELEBIC,An,10.7517,43.3331,3.4462,1.7226,2.1041,25.0017,25.8323,24.0074,0.7136,1.8249,mean,0.5525,0.8592,0.7149,0.0761,0.9386,0.4443,0.0169,0.6532,-0.8603,-0.6650
An.CELEBIC,An,10.7483,43.3687,3.4493,1.7242,2.1040,25.7715,26.8363,24.7290,0.8132,2.1968,median,0.5478,0.8673,0.7307,0.1003,0.9378,0.6580,0.2769,0.8128,-0.7014,-0.5007
An.CENTRAL_LUZON,An,10.4927,43.0441,3.3263,1.7167,2.0146,23.8810,25.5872,22.0398,1.1931,3.5475,mean,0.2004,0.7935,0.1114,-0.0159,0.1324,0.1558,-0.0438,0.2533,-0.2538,-0.0733
An.CENTRAL_LUZON,An,10.5273,42.7812,3.3321,1.7206,2.0218,24.9018,26.6785,22.9985,1.1869,3.5629,median,0.2468,0.7336,0.1405,0.0439,0.1977,0.4175,0.2348,0.4419,-0.2597,-0.0694
